large_zone,region,MFS01,MFS02,MFS03,MFS04,MFS05,MFS06,MFS07,MFS08,MFS09,MFS10,MFS11,MFS12,MFS13,MFS14,MFS15,MFS16,MFS17,MFS18,MFS19,MFS20,MFS21,MFS22,MFS23,MFS24,MFS25,MFS26,MFS27,MFS28,MFS29,MFS30,MFS31,MFS32,MFS33,MFS34,MFS35,MFS36,MFS37,MFS38,MFS39,MFS40,MFS41,MFS42,MFS43,MFS44,MFS45,MFS46,MFS47,MFS48,MFS49,MFS50,MFS51,MFS52,MFS53,MFS54,MFS55,MFS56,MFS57,MFS58,MFS59,MFS60,MFS61,MFS62,MFS63,MFS64,MFS65,MFS66,PRF01,PRF02,PRF03,PRF04,PRF05,PRF06,PRF07,PRF15,PRF16,PRF17,PRF18,PRF19,PRF20,PRF22,PRF21,PRF23,PRF24,PRF25,PRF26,PRF27,PRF28,PRF29,PRF30,PRF31,PRF32,PRF33,PRF34,PRF35,PRF36,PRF37,PRF38,PRF39,PRF40,PRF41,PRF42,PRF43,PRF44,PRF45,PRF46,PRF47
91,PRF33,43.0,67.3,13.0,31.1,6.1,28.4,23.8,22.7,19.4,9.1,9.5,44.6,6.9,11.9,12.7,20.5,5.9,15.9,0.9,0.8,15.9,12.0,6.6,4.7,29.0,19.4,20.4,15.1,30.5,34.8,1.9,9.1,17.9,25.1,12.6,3.3,2.0,8.2,26.3,10.0,10.5,19.8,9.1,17.3,2.0,4.5,8.3,17.5,9.3,7.7,7.4,5.3,2.7,9.9,15.4,3.9,40.2,20.6,18.2,16.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,24.8,6.4,6.5,13.4,66.2,48.5,4.4,7.3,5.3,3.7,336.2,21.2,4.7,10.5,30.6,8.4,4.5,8.8,1.2,1.4,2.5,2.9,1.3,1.5,0.3
92,PRF34,67.0,104.9,20.3,48.4,9.5,44.3,37.0,35.4,30.2,14.2,14.8,69.6,10.7,18.5,19.7,32.0,9.2,24.8,1.5,1.2,24.7,18.7,10.2,7.4,45.1,30.3,31.9,23.6,47.5,54.2,3.0,14.2,27.9,39.1,19.7,5.1,3.2,12.7,41.0,15.6,16.4,30.8,14.2,26.9,3.1,7.0,13.0,27.3,14.5,12.0,11.6,8.2,4.2,15.5,24.1,6.1,62.6,32.1,28.3,25.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,21.1,5.0,4.6,8.7,38.2,23.2,2.9,3.9,2.8,8.5,21.2,524.0,28.3,4.8,9.6,38.4,6.5,29.1,3.5,3.8,7.2,10.5,3.1,3.4,0.6
93,PRF35,32.4,50.7,9.8,23.4,4.6,21.4,17.9,17.1,14.6,6.9,7.1,33.6,5.2,9.0,9.5,15.5,4.5,12.0,0.7,0.6,12.0,9.0,4.9,3.6,21.8,14.6,15.4,11.4,22.9,26.2,1.4,6.9,13.5,18.9,9.5,2.5,1.5,6.1,19.8,7.6,7.9,14.9,6.9,13.0,1.5,3.4,6.3,13.2,7.0,5.8,5.6,4.0,2.0,7.5,11.6,3.0,30.3,15.5,13.7,12.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.5,1.7,1.5,2.8,12.0,7.0,1.0,1.2,0.8,2.3,4.7,28.3,253.2,1.3,2.2,7.4,1.7,33.5,3.4,3.0,5.8,8.6,1.9,2.1,0.3
94,PRF36,16.8,26.2,5.1,12.1,2.4,11.1,9.3,8.8,7.6,3.5,3.7,17.4,2.7,4.6,4.9,8.0,2.3,6.2,0.4,0.3,6.2,4.7,2.6,1.8,11.3,7.6,8.0,5.9,11.9,13.6,0.7,3.5,7.0,9.8,4.9,1.3,0.8,3.2,10.3,3.9,4.1,7.7,3.5,6.7,0.8,1.8,3.2,6.8,3.6,3.0,2.9,2.1,1.1,3.9,6.0,1.5,15.6,8.0,7.1,6.3,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,11.4,3.3,3.1,6.3,38.2,27.3,3.0,8.6,1.0,0.7,10.5,4.8,1.3,131.0,10.2,2.5,2.2,2.9,0.4,0.5,0.9,1.0,0.5,0.6,0.1
95,PRF37,21.2,33.2,6.4,15.3,3.0,14.0,11.7,11.2,9.6,4.5,4.7,22.0,3.4,5.9,6.3,10.1,2.9,7.8,0.5,0.4,7.8,5.9,3.2,2.3,14.3,9.6,10.1,7.5,15.0,17.2,0.9,4.5,8.8,12.4,6.2,1.6,1.0,4.0,13.0,4.9,5.2,9.8,4.5,8.5,1.0,2.2,4.1,8.6,4.6,3.8,3.7,2.6,1.3,4.9,7.6,1.9,19.8,10.2,9.0,7.9,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,12.2,3.3,3.2,6.5,34.5,25.2,2.4,4.7,1.7,1.4,30.6,9.6,2.2,10.2,165.9,4.6,3.3,4.3,0.6,0.7,1.3,1.5,0.7,0.8,0.2
96,PRF38,27.4,42.8,8.3,19.8,3.9,18.1,15.1,14.4,12.3,5.8,6.0,28.4,4.4,7.6,8.1,13.1,3.8,10.1,0.6,0.5,10.1,7.6,4.2,3.0,18.4,12.4,13.0,9.6,19.4,22.2,1.2,5.8,11.4,16.0,8.0,2.1,1.3,5.2,16.7,6.4,6.7,12.6,5.8,11.0,1.3,2.9,5.3,11.1,5.9,4.9,4.7,3.4,1.7,6.3,9.8,2.5,25.6,13.1,11.6,10.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,8.9,2.2,1.9,3.6,16.7,10.1,1.3,1.9,0.9,1.8,8.4,38.4,7.4,2.5,4.6,213.9,6.2,11.0,1.4,1.6,3.3,5.6,1.6,1.6,0.3
97,PRF39,12.8,20.1,3.9,9.3,1.8,8.5,7.1,6.8,5.8,2.7,2.8,13.3,2.0,3.6,3.8,6.1,1.8,4.8,0.3,0.2,4.7,3.6,2.0,1.4,8.7,5.8,6.1,4.5,9.1,10.4,0.6,2.7,5.4,7.5,3.8,1.0,0.6,2.4,7.9,3.0,3.2,5.9,2.7,5.2,0.6,1.3,2.5,5.2,2.8,2.3,2.2,1.6,0.8,3.0,4.6,1.2,12.0,6.2,5.4,4.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.3,1.1,2.1,10.5,6.4,0.9,1.4,0.5,0.6,4.5,6.5,1.7,2.2,3.3,6.2,100.4,3.4,0.5,0.6,1.1,1.5,0.7,0.7,0.1
98,PRF40,109.5,171.3,33.2,79.0,15.5,72.3,60.5,57.8,49.4,23.2,24.1,113.6,17.5,30.3,32.3,52.3,15.0,40.5,2.4,1.9,40.4,30.5,16.7,12.1,73.7,49.5,52.0,38.5,77.6,88.6,4.8,23.2,45.6,63.9,32.2,8.3,5.2,20.8,67.0,25.5,26.8,50.4,23.2,44.0,5.1,11.5,21.2,44.6,23.7,19.5,18.9,13.5,6.9,25.3,39.3,10.0,102.2,52.4,46.3,40.9,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,18.9,4.3,3.7,6.6,27.7,15.6,2.3,2.7,1.6,3.8,8.8,29.1,33.5,2.9,4.3,11.0,3.4,855.8,59.5,28.9,46.4,25.0,8.3,11.2,1.3
99,PRF41,16.2,25.3,4.9,11.7,2.3,10.7,9.0,8.5,7.3,3.4,3.6,16.8,2.6,4.5,4.8,7.7,2.2,6.0,0.4,0.3,6.0,4.5,2.5,1.8,10.9,7.3,7.7,5.7,11.5,13.1,0.7,3.4,6.8,9.5,4.8,1.2,0.8,3.1,9.9,3.8,4.0,7.5,3.4,6.5,0.8,1.7,3.1,6.6,3.5,2.9,2.8,2.0,1.0,3.7,5.8,1.5,15.1,7.8,6.9,6.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.6,0.6,0.5,0.9,3.8,2.1,0.3,0.4,0.2,0.5,1.2,3.5,3.4,0.4,0.6,1.4,0.5,59.5,126.6,8.5,12.1,3.5,1.5,2.2,0.2
100,PRF42,25.1,39.3,7.6,18.1,3.6,16.6,13.9,13.3,11.3,5.3,5.5,26.1,4.0,6.9,7.4,12.0,3.5,9.3,0.6,0.4,9.3,7.0,3.8,2.8,16.9,11.4,11.9,8.8,17.8,20.3,1.1,5.3,10.5,14.7,7.4,1.9,1.2,4.8,15.4,5.9,6.2,11.6,5.3,10.1,1.2,2.6,4.9,10.2,5.4,4.5,4.3,3.1,1.6,5.8,9.0,2.3,23.5,12.0,10.6,9.4,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.6,0.8,0.7,1.2,5.0,2.8,0.4,0.5,0.3,0.5,1.4,3.8,3.0,0.5,0.7,1.6,0.6,28.9,8.5,196.5,13.6,3.3,2.6,4.9,0.4
101,PRF43,33.5,52.4,10.2,24.2,4.8,22.1,18.5,17.7,15.1,7.1,7.4,34.8,5.3,9.3,9.9,16.0,4.6,12.4,0.7,0.6,12.4,9.3,5.1,3.7,22.6,15.1,15.9,11.8,23.7,27.1,1.5,7.1,14.0,19.6,9.8,2.5,1.6,6.4,20.5,7.8,8.2,15.4,7.1,13.5,1.6,3.5,6.5,13.6,7.3,6.0,5.8,4.1,2.1,7.7,12.0,3.1,31.3,16.1,14.2,12.5,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,5.7,1.3,1.1,2.0,8.3,4.7,0.7,0.8,0.4,0.9,2.5,7.2,5.8,0.9,1.3,3.3,1.1,46.4,12.1,13.6,262.0,10.5,6.2,7.3,0.5
102,PRF44,24.6,38.5,7.4,17.7,3.5,16.2,13.6,13.0,11.1,5.2,5.4,25.5,3.9,6.8,7.2,11.7,3.4,9.1,0.5,0.4,9.1,6.8,3.8,2.7,16.6,11.1,11.7,8.6,17.4,19.9,1.1,5.2,10.2,14.3,7.2,1.9,1.2,4.7,15.0,5.7,6.0,11.3,5.2,9.9,1.1,2.6,4.8,10.0,5.3,4.4,4.2,3.0,1.5,5.7,8.8,2.2,23.0,11.8,10.4,9.2,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,1.3,1.1,1.9,8.4,4.8,0.7,0.9,0.5,1.0,2.9,10.5,8.6,1.0,1.5,5.6,1.5,25.0,3.5,3.3,10.5,192.1,3.1,2.8,0.3
103,PRF45,19.5,30.6,5.9,14.1,2.8,12.9,10.8,10.3,8.8,4.1,4.3,20.3,3.1,5.4,5.8,9.3,2.7,7.2,0.4,0.3,7.2,5.4,3.0,2.2,13.2,8.8,9.3,6.9,13.8,15.8,0.9,4.1,8.1,11.4,5.7,1.5,0.9,3.7,12.0,4.6,4.8,9.0,4.1,7.9,0.9,2.0,3.8,8.0,4.2,3.5,3.4,2.4,1.2,4.5,7.0,1.8,18.3,9.4,8.3,7.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.3,0.8,0.6,1.1,4.9,2.7,0.4,0.5,0.2,0.4,1.3,3.1,1.9,0.5,0.7,1.6,0.7,8.3,1.5,2.6,6.2,3.1,152.8,8.0,0.3
104,PRF46,29.6,46.3,9.0,21.4,4.2,19.6,16.4,15.6,13.4,6.3,6.5,30.7,4.7,8.2,8.7,14.1,4.1,10.9,0.7,0.5,10.9,8.2,4.5,3.3,19.9,13.4,14.1,10.4,21.0,24.0,1.3,6.3,12.3,17.3,8.7,2.2,1.4,5.6,18.1,6.9,7.3,13.6,6.3,11.9,1.4,3.1,5.7,12.0,6.4,5.3,5.1,3.6,1.9,6.8,10.6,2.7,27.6,14.2,12.5,11.1,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.1,0.9,0.8,1.4,5.7,3.1,0.5,0.6,0.3,0.5,1.5,3.4,2.1,0.6,0.8,1.6,0.7,11.2,2.2,4.9,7.3,2.8,8.0,231.4,0.5
105,PRF47,24.6,38.5,7.4,17.7,3.5,16.2,13.6,13.0,11.1,5.2,5.4,25.5,3.9,6.8,7.2,11.7,3.4,9.1,0.5,0.4,9.1,6.8,3.8,2.7,16.6,11.1,11.7,8.6,17.4,19.9,1.1,5.2,10.2,14.3,7.2,1.9,1.2,4.7,15.0,5.7,6.0,11.3,5.2,9.9,1.1,2.6,4.8,10.0,5.3,4.4,4.2,3.0,1.5,5.7,8.8,2.2,23.0,11.8,10.4,9.2,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.4,0.3,0.2,0.4,1.6,0.8,0.1,0.1,0.1,0.1,0.3,0.6,0.3,0.1,0.2,0.3,0.1,1.3,0.2,0.4,0.5,0.3,0.3,0.5,192.1
